,country/region,confirmed,deaths,recovered,active,death_rate_(%),recovery_rate_(%),deaths_/_100_recovered,confirmed_last_week,1_week_change,1_week_%_increase,who_region,mortality_rate
0,Afghanistan,36263,1269.0,25198,9796,3.5,69.49,5.04,35526,737,2.07,Eastern Mediterranean,3.499434685492099
1,Albania,4880,144.0,2745,1991,2.95,56.25,5.25,4171,709,17.0,Europe,2.9508196721311477
2,Algeria,27973,1163.0,18837,7973,4.16,67.34,6.17,23691,4282,18.07,Africa,4.1575805240767885
3,Andorra,907,52.0,803,52,5.73,88.53,6.48,884,23,2.6,Europe,5.733186328555679
4,Angola,950,41.0,242,667,4.32,25.47,16.94,749,201,26.84,Africa,4.315789473684211
5,Antigua and Barbuda,86,3.0,65,18,3.49,75.58,4.62,76,10,13.16,Americas,3.488372093023256
6,Argentina,167416,3059.0,72575,91782,1.83,43.35,4.21,130774,36642,28.02,Americas,1.827184976346347
7,Armenia,37390,711.0,26665,10014,1.9,71.32,2.67,34981,2409,6.89,Europe,1.901577962021931
8,Australia,15303,167.0,9311,5825,1.09,60.84,1.79,12428,2875,23.13,Western Pacific,1.0912892896817616
9,Austria,20558,713.0,18246,1599,3.47,88.75,3.91,19743,815,4.13,Europe,3.46823620974803
10,Azerbaijan,30446,423.0,23242,6781,1.39,76.34,1.82,27890,2556,9.16,Europe,1.389345069959929
11,Bahamas,382,11.0,91,280,2.88,23.82,12.09,174,208,119.54,Americas,2.8795811518324608
12,Bahrain,39482,141.0,36110,3231,0.36,91.46,0.39,36936,2546,6.89,Eastern Mediterranean,0.3571247657160225
13,Bangladesh,226225,2965.0,125683,97577,1.31,55.56,2.36,207453,18772,9.05,South-East Asia,1.310642059896121
14,Barbados,110,7.0,94,9,6.36,85.45,7.45,106,4,3.77,Americas,6.363636363636363
15,Belarus,67251,538.0,60492,6221,0.8,89.95,0.89,66213,1038,1.57,Europe,0.7999881042661077
16,Belgium,66428,9822.0,17452,39154,14.79,26.27,56.28,64094,2334,3.64,Europe,14.785933642439936
17,Belize,48,2.0,26,20,4.17,54.17,7.69,40,8,20.0,Americas,4.166666666666666
18,Benin,1770,35.0,1036,699,1.98,58.53,3.38,1602,168,10.49,Africa,1.977401129943503
20,Bolivia,71181,2647.0,21478,47056,3.72,30.17,12.32,60991,10190,16.71,Americas,3.718688975990784
21,Bosnia and Herzegovina,10498,294.0,4930,5274,2.8,46.96,5.96,8479,2019,23.81,Europe,2.8005334349399886
22,Botswana,739,2.0,63,674,0.27,8.53,3.17,522,217,41.57,Africa,0.2706359945872801
23,Brazil,2442375,87618.0,1846641,508116,3.59,75.61,4.74,2118646,323729,15.28,Americas,3.5874097957930293
24,Brunei,141,3.0,138,,2.13,97.87,2.17,141,,,Western Pacific,2.127659574468085
25,Bulgaria,10621,347.0,5585,4689,3.27,52.58,6.21,8929,1692,18.95,Europe,3.267112324639864
26,Burkina Faso,1100,53.0,926,121,4.82,84.18,5.72,1065,35,3.29,Africa,4.818181818181818
27,Burma,350,6.0,292,52,1.71,83.43,2.05,341,9,2.64,South-East Asia,1.7142857142857144
28,Burundi,378,1.0,301,76,0.26,79.63,0.33,322,56,17.39,Africa,0.26455026455026454
29,Cabo Verde,2328,22.0,1550,756,0.95,66.58,1.42,2071,257,12.41,Africa,0.9450171821305842
31,Cameroon,17110,391.0,14539,2180,2.29,84.97,2.69,16157,953,5.9,Africa,2.2852133255406195
32,Canada,116458,8944.0,,107514,7.68,0.0,inf,112925,3533,3.13,Americas,7.68002198217383
33,Central African Republic,4599,59.0,1546,2994,1.28,33.62,3.82,4548,51,1.12,Africa,1.2828875842574472
34,Chad,922,75.0,810,37,8.13,87.85,9.26,889,33,3.71,Africa,8.134490238611713
